split_id,bank,target,left_out_family,n_models_kept,spearman_cv_public,spearman_public_private,public_winner_regret
GEN_0002_B_20270923,A,HIC,plm,4,0.7999999999999999,0.7999999999999999,0.005267474780123904
GEN_0002_B_20270923,A,HIC,seq,5,-0.49999999999999994,0.6,0.05720557884169575
GEN_0002_B_20270923,A,HIC,simple,5,0.09999999999999999,0.6,0.05720557884169575
GEN_0002_B_20270923,A,HIC,structure,5,0.3,0.8999999999999998,0.05720557884169575
GEN_0002_B_20270923,B,TmApp,bio,6,-0.2,-0.14285714285714288,0.37535178591310325
GEN_0002_B_20270923,B,TmApp,plm,7,0.3571428571428572,0.42857142857142866,0.03564688315304698
GEN_0002_B_20270923,B,TmApp,seq,8,-0.1666666666666667,0.09523809523809526,0.37535178591310325
GEN_0002_B_20270923,B,TmApp,simple,9,-0.43333333333333335,-0.18333333333333335,0.37535178591310325
GEN_0002_B_20270923,B,HIC,plm,8,0.9285714285714287,0.8095238095238096,0.0
GEN_0002_B_20270923,B,HIC,seq,7,0.9642857142857145,0.8571428571428573,0.0
GEN_0002_B_20270923,B,HIC,simple,9,0.9166666666666666,0.7,0.0
GEN_0002_B_20270923,B,HIC,structure,6,0.942857142857143,0.8285714285714287,0.0
GEN_0003_A_20260938,A,TmApp,ensemble,4,0.39999999999999997,1.0,0.0
GEN_0003_A_20260938,A,TmApp,other,4,-0.39999999999999997,-0.19999999999999998,0.23848029471383825
GEN_0003_A_20260938,A,TmApp,plm,4,-0.7999999999999999,-0.19999999999999998,0.4433729417891916
GEN_0003_A_20260938,A,TmApp,seq,4,-0.19999999999999998,-0.19999999999999998,0.23848029471383825
GEN_0003_A_20260938,A,TmApp,simple,4,-0.39999999999999997,-0.19999999999999998,0.23848029471383825
GEN_0003_A_20260938,A,HIC,ensemble,5,0.3,0.8999999999999998,0.0012218673299173588
GEN_0003_A_20260938,A,HIC,plm,4,1.0,1.0,0.0
GEN_0003_A_20260938,A,HIC,seq,5,0.3,0.8999999999999998,0.0
GEN_0003_A_20260938,A,HIC,simple,5,0.7,0.8999999999999998,0.0
GEN_0003_A_20260938,A,HIC,structure,5,0.6,0.9999999999999999,0.0
GEN_0003_A_20260938,B,TmApp,bio,6,-0.2,0.5428571428571429,0.28396665834362445
GEN_0003_A_20260938,B,TmApp,plm,7,-0.03571428571428572,0.6071428571428572,0.08221267453124259
GEN_0003_A_20260938,B,TmApp,seq,8,-0.07142857142857144,0.8571428571428572,0.28396665834362445
GEN_0003_A_20260938,B,TmApp,simple,9,-0.5333333333333333,0.5833333333333334,0.28396665834362445
GEN_0003_A_20260938,B,HIC,plm,8,0.9761904761904763,0.9285714285714287,0.0
GEN_0003_A_20260938,B,HIC,seq,7,0.9642857142857145,0.8928571428571429,0.0
GEN_0003_A_20260938,B,HIC,simple,9,0.9666666666666667,0.9166666666666666,0.0
GEN_0003_A_20260938,B,HIC,structure,6,0.942857142857143,0.942857142857143,0.0
GEN_0004_B_20271225,A,TmApp,ensemble,4,0.7999999999999999,0.39999999999999997,0.0
GEN_0004_B_20271225,A,TmApp,other,4,0.7999999999999999,0.39999999999999997,0.2935241731377012
GEN_0004_B_20271225,A,TmApp,plm,4,0.7999999999999999,0.0,0.006443852888926127
GEN_0004_B_20271225,A,TmApp,seq,4,1.0,0.6000000000000001,0.2935241731377012
GEN_0004_B_20271225,A,TmApp,simple,4,1.0,0.0,0.2935241731377012
GEN_0004_B_20271225,A,HIC,ensemble,5,0.3,0.9999999999999999,0.0
GEN_0004_B_20271225,A,HIC,plm,4,0.7999999999999999,0.7999999999999999,0.013562677902789644
GEN_0004_B_20271225,A,HIC,seq,5,-0.3,0.7,0.013562677902789644
GEN_0004_B_20271225,A,HIC,simple,5,0.19999999999999998,0.7,0.013562677902789644
GEN_0004_B_20271225,A,HIC,structure,5,0.3,0.8999999999999998,0.019186189240974205
GEN_0004_B_20271225,B,TmApp,bio,6,0.5428571428571429,0.6571428571428573,0.05049684716095593
GEN_0004_B_20271225,B,TmApp,plm,7,0.6071428571428572,-0.07142857142857144,0.2299682459493444
GEN_0004_B_20271225,B,TmApp,seq,8,0.523809523809524,0.4523809523809524,0.05049684716095593
GEN_0004_B_20271225,B,TmApp,simple,9,0.45,0.38333333333333336,0.05049684716095593
GEN_0004_B_20271225,B,HIC,plm,8,0.8095238095238096,0.8333333333333335,0.0
GEN_0004_B_20271225,B,HIC,seq,7,0.7142857142857144,0.8214285714285715,0.0
GEN_0004_B_20271225,B,HIC,simple,9,0.8666666666666667,0.9,0.0
GEN_0004_B_20271225,B,HIC,structure,6,1.0,1.0,0.0
CAND_12528,A,TmApp,ensemble,4,0.39999999999999997,0.7999999999999999,0.0
CAND_12528,A,TmApp,other,4,0.7999999999999999,0.7999999999999999,0.18623877473812822
CAND_12528,A,TmApp,plm,4,0.39999999999999997,0.7999999999999999,0.0
CAND_12528,A,TmApp,seq,4,1.0,0.7999999999999999,0.18623877473812822
